clientes,cliente_id,repeticao,operacao,metodo,rota,codigo_status,sucesso,latencia_ms
5,4,2,LISTAR,GET,/produtos,200,True,4.75
5,4,2,CONSULTAR,GET,/produtos/{id},200,True,6.42
5,4,2,ATUALIZAR,PUT,/produtos/{id},200,True,2.41
5,4,2,EXCLUIR,DELETE,/produtos/{id},204,True,5.11
5,1,2,CRIAR,POST,/produtos,201,True,8.21
5,1,2,LISTAR,GET,/produtos,200,True,4.9
5,1,2,CONSULTAR,GET,/produtos/{id},200,True,6.12
5,1,2,ATUALIZAR,PUT,/produtos/{id},200,True,5.8
5,1,2,EXCLUIR,DELETE,/produtos/{id},204,True,2.47
5,3,2,CRIAR,POST,/produtos,201,True,7.58
5,3,2,LISTAR,GET,/produtos,200,True,4.43
5,3,2,CONSULTAR,GET,/produtos/{id},200,True,6.1
5,3,2,ATUALIZAR,PUT,/produtos/{id},200,True,5.27
5,3,2,EXCLUIR,DELETE,/produtos/{id},204,True,2.46
5,2,3,CRIAR,POST,/produtos,201,True,7.7
5,2,3,LISTAR,GET,/produtos,200,True,3.24
5,2,3,CONSULTAR,GET,/produtos/{id},200,True,5.08
5,2,3,ATUALIZAR,PUT,/produtos/{id},200,True,3.5
5,2,3,EXCLUIR,DELETE,/produtos/{id},204,True,3.74
5,3,3,CRIAR,POST,/produtos,201,True,5.7
5,3,3,LISTAR,GET,/produtos,200,True,3.58
5,3,3,CONSULTAR,GET,/produtos/{id},200,True,8.27
5,3,3,ATUALIZAR,PUT,/produtos/{id},200,True,3.62
5,3,3,EXCLUIR,DELETE,/produtos/{id},204,True,2.62
5,1,3,CRIAR,POST,/produtos,201,True,5.73
5,1,3,LISTAR,GET,/produtos,200,True,6.43
5,1,3,CONSULTAR,GET,/produtos/{id},200,True,3.5
5,1,3,ATUALIZAR,PUT,/produtos/{id},200,True,3.8
5,1,3,EXCLUIR,DELETE,/produtos/{id},204,True,6.31
5,5,3,CRIAR,POST,/produtos,201,True,3.56
5,5,3,LISTAR,GET,/produtos,200,True,5.99
5,5,3,CONSULTAR,GET,/produtos/{id},200,True,6.04
5,5,3,ATUALIZAR,PUT,/produtos/{id},200,True,6.01
5,5,3,EXCLUIR,DELETE,/produtos/{id},204,True,3.3
5,4,3,CRIAR,POST,/produtos,201,True,5.74
5,4,3,LISTAR,GET,/produtos,200,True,4.07
5,4,3,CONSULTAR,GET,/produtos/{id},200,True,7.34
5,4,3,ATUALIZAR,PUT,/produtos/{id},200,True,5.67
5,4,3,EXCLUIR,DELETE,/produtos/{id},204,True,3.32
5,4,4,CRIAR,POST,/produtos,201,True,4.97
5,4,4,LISTAR,GET,/produtos,200,True,4.8
5,4,4,CONSULTAR,GET,/produtos/{id},200,True,4.53
5,4,4,ATUALIZAR,PUT,/produtos/{id},200,True,3.46
5,4,4,EXCLUIR,DELETE,/produtos/{id},204,True,4.63
5,2,4,CRIAR,POST,/produtos,201,True,3.58
5,2,4,LISTAR,GET,/produtos,200,True,4.82
5,2,4,CONSULTAR,GET,/produtos/{id},200,True,4.28
5,2,4,ATUALIZAR,PUT,/produtos/{id},200,True,7.05
5,2,4,EXCLUIR,DELETE,/produtos/{id},204,True,4.58
5,1,4,CRIAR,POST,/produtos,201,True,3.64
5,1,4,LISTAR,GET,/produtos,200,True,4.91
5,1,4,CONSULTAR,GET,/produtos/{id},200,True,5.22
5,1,4,ATUALIZAR,PUT,/produtos/{id},200,True,6.37
5,1,4,EXCLUIR,DELETE,/produtos/{id},204,True,4.65
5,3,4,CRIAR,POST,/produtos,201,True,4.34
5,3,4,LISTAR,GET,/produtos,200,True,2.9
5,3,4,CONSULTAR,GET,/produtos/{id},200,True,3.98
5,3,4,ATUALIZAR,PUT,/produtos/{id},200,True,6.79
5,3,4,EXCLUIR,DELETE,/produtos/{id},204,True,6.58
5,5,4,CRIAR,POST,/produtos,201,True,5.07
5,5,4,LISTAR,GET,/produtos,200,True,4.8
5,5,4,CONSULTAR,GET,/produtos/{id},200,True,3.53
5,5,4,ATUALIZAR,PUT,/produtos/{id},200,True,5.18
5,5,4,EXCLUIR,DELETE,/produtos/{id},204,True,4.61
5,3,5,CRIAR,POST,/produtos,201,True,4.75
5,3,5,LISTAR,GET,/produtos,200,True,3.75
5,3,5,CONSULTAR,GET,/produtos/{id},200,True,4.66
5,3,5,ATUALIZAR,PUT,/produtos/{id},200,True,5.95
5,3,5,EXCLUIR,DELETE,/produtos/{id},204,True,4.79
5,5,5,CRIAR,POST,/produtos,201,True,5.22
